Date,Farmgate_Price,Production_Cost,Net_Return,Volume_Of_Production
2010-Q1,72.75,6340,4374,2496.51
2010-Q2,68.91,6854.066327,4728.88735,1363.58
2010-Q3,54.13,5945.263367,4101.868787,1216.72
2010-Q4,80.95,6742.37211,4651.825159,4633.45
2011-Q1,74.263,7003.43457,5034.112537,2458.49
2011-Q2,85.923,7977.176986,5734.044671,1397.82
2011-Q3,57.66,6547.032588,4706.04794,1198.12
2011-Q4,53.287,6250.355857,4492.794852,4446.7
2012-Q1,69.567,7092,4618,2408.45
2012-Q2,101.14,8391.086974,5463.798377,1376.49
2012-Q3,59.78,6925.03877,4509.191206,1205.26
2012-Q4,68.003,7117.182362,4634.30418,4401.4
2013-Q1,77.903,7340,4348,2435.17
2013-Q2,103.28,8518.58629,5045.647955,1364.58
2013-Q3,63.07,7021.846625,4159.113362,1154.05
2013-Q4,87.237,7446.643441,4410.724969,4342.96
2014-Q1,83.277,7455,4404,2379.61
2014-Q2,109.36,9140.185373,5398.802044,1321.88
2014-Q3,51.03,6742.97142,3982.847874,1114.61
2014-Q4,88.07,7775.500566,4592.728335,4198.13
2015-Q1,97,7900,4468,2124.92
2015-Q2,99.503,8811.708559,4983.482779,1221.22
2015-Q3,56.46,7114.895985,4023.846383,1117.77
2015-Q4,124.42,8750.024724,4948.597339,4253.06
2016-Q1,103.39,8303,3499,2148.68
2016-Q2,86.383,8586.206852,3618.691527,1111.48
2016-Q3,72.82,8195.045633,3453.835052,928.22
2016-Q4,112.44,9138.133148,3851.303092,4189.53
2017-Q1,97.5,8789,3699,2114.96
2017-Q2,105.69,9674.495698,4071.230883,927.18
2017-Q3,111.6,9216.876547,3878.655137,780.33
2017-Q4,104.36,8446.143247,3554.314385,3419.87
2018-Q1,106.76,9749,1749,1696.11
2018-Q2,120.73,11020.09095,1977.428007,864.8
2018-Q3,94.33,9480.514916,1701.168874,779.49
2018-Q4,105.12,9211.94459,1652.977032,3512.7
2019-Q1,109.58,10942,717,1798.57
2019-Q2,118.12,12161.52277,796.5156332,815.73
2019-Q3,95.31,10415.16624,682.1384861,775.51
2019-Q4,96.433,9828.007893,643.6827095,3661.33
2020-Q1,118.04,12399,-821,1882.32
2020-Q2,113.62,12453.79028,-824.7134979,810.35
2020-Q3,86.53,11050.23059,-731.7671262,822.66
2020-Q4,95.053,10562.32446,-699.4570613,3813.4
2021-Q1,103.77,12004,-1681,1896.82
2021-Q2,98.67,13633.56799,-1909.598153,885.71
2021-Q3,119.6,13330.31807,-1867.123175,786.27
2021-Q4,110.98,12007.83208,-1681.887968,3357.81
