date,Farmgate Price
2010-Q1,72.75
2010-Q2,68.91
2010-Q3,54.13
2010-Q4,80.95
2011-Q1,74.263
2011-Q2,85.923
2011-Q3,57.66
2011-Q4,53.287
2012-Q1,69.567
2012-Q2,101.14
2012-Q3,59.78
2012-Q4,68.003
2013-Q1,77.903
2013-Q2,103.28
2013-Q3,63.07
2013-Q4,87.237
2014-Q1,83.277
2014-Q2,109.36
2014-Q3,51.03
2014-Q4,88.07
2015-Q1,97
2015-Q2,99.503
2015-Q3,56.46
2015-Q4,124.42
2016-Q1,103.39
2016-Q2,86.383
2016-Q3,72.82
2016-Q4,112.44
2017-Q1,97.5
2017-Q2,105.69
2017-Q3,111.6
2017-Q4,104.36
2018-Q1,106.76
2018-Q2,120.73
2018-Q3,94.33
2018-Q4,105.12
2019-Q1,109.58
2019-Q2,118.12
2019-Q3,95.31
2019-Q4,96.433
2020-Q1,118.04
2020-Q2,113.62
2020-Q3,86.53
2020-Q4,95.053
2021-Q1,103.77
2021-Q2,98.67
2021-Q3,119.6
2021-Q4,110.98
