date,Production Volume
2010-Q1,2496.51
2010-Q2,1363.58
2010-Q3,1216.72
2010-Q4,4633.45
2011-Q1,2458.49
2011-Q2,1397.82
2011-Q3,1198.12
2011-Q4,4446.7
2012-Q1,2408.45
2012-Q2,1376.49
2012-Q3,1205.26
2012-Q4,4401.4
2013-Q1,2435.17
2013-Q2,1364.58
2013-Q3,1154.05
2013-Q4,4342.96
2014-Q1,2379.61
2014-Q2,1321.88
2014-Q3,1114.61
2014-Q4,4198.13
2015-Q1,2124.92
2015-Q2,1221.22
2015-Q3,1117.77
2015-Q4,4253.06
2016-Q1,2148.68
2016-Q2,1111.48
2016-Q3,928.22
2016-Q4,4189.53
2017-Q1,2114.96
2017-Q2,927.18
2017-Q3,780.33
2017-Q4,3419.87
2018-Q1,1696.11
2018-Q2,864.8
2018-Q3,779.49
2018-Q4,3512.7
2019-Q1,1798.57
2019-Q2,815.73
2019-Q3,775.51
2019-Q4,3661.33
2020-Q1,1882.32
2020-Q2,810.35
2020-Q3,822.66
2020-Q4,3813.4
2021-Q1,1896.82
2021-Q2,885.71
2021-Q3,786.27
2021-Q4,3357.81
