date,Production Volume
2010-Q1,1073.26
2010-Q2,756.91
2010-Q3,407.99
2010-Q4,938.73
2011-Q1,969.66
2011-Q2,696.13
2011-Q3,382.88
2011-Q4,909.23
2012-Q1,1049.63
2012-Q2,621.18
2012-Q3,351.96
2012-Q4,845.64
2013-Q1,907.28
2013-Q2,559.48
2013-Q3,265.29
2013-Q4,726.37
2014-Q1,872.35
2014-Q2,551.56
2014-Q3,224.25
2014-Q4,714.43
2015-Q1,822.35
2015-Q2,512.43
2015-Q3,224.06
2015-Q4,714.37
2016-Q1,803.98
2016-Q2,433.55
2016-Q3,211.21
2016-Q4,685.58
2017-Q1,788.78
2017-Q2,430.52
2017-Q3,197.82
2017-Q4,615.1
2018-Q1,782.59
2018-Q2,439.63
2018-Q3,195.36
2018-Q4,602.09
2019-Q1,768.99
2019-Q2,399.15
2019-Q3,191.74
2019-Q4,594.06
2020-Q1,715.52
2020-Q2,368.23
2020-Q3,189.44
2020-Q4,582.97
2021-Q1,696.39
2021-Q2,367.69
2021-Q3,188.01
2021-Q4,586.23
