date,Net Return
2010-Q1,4374
2010-Q2,4728.88735
2010-Q3,4101.868787
2010-Q4,4651.825159
2011-Q1,5034.112537
2011-Q2,5734.044671
2011-Q3,4706.04794
2011-Q4,4492.794852
2012-Q1,4618
2012-Q2,5463.798377
2012-Q3,4509.191206
2012-Q4,4634.30418
2013-Q1,4348
2013-Q2,5045.647955
2013-Q3,4159.113362
2013-Q4,4410.724969
2014-Q1,4404
2014-Q2,5398.802044
2014-Q3,3982.847874
2014-Q4,4592.728335
2015-Q1,4468
2015-Q2,4983.482779
2015-Q3,4023.846383
2015-Q4,4948.597339
2016-Q1,3499
2016-Q2,3618.691527
2016-Q3,3453.835052
2016-Q4,3851.303092
2017-Q1,3699
2017-Q2,4071.230883
2017-Q3,3878.655137
2017-Q4,3554.314385
2018-Q1,1749
2018-Q2,1977.428007
2018-Q3,1701.168874
2018-Q4,1652.977032
2019-Q1,717
2019-Q2,796.5156332
2019-Q3,682.1384861
2019-Q4,643.6827095
2020-Q1,-821
2020-Q2,-824.7134979
2020-Q3,-731.7671262
2020-Q4,-699.4570613
2021-Q1,-1681
2021-Q2,-1909.598153
2021-Q3,-1867.123175
2021-Q4,-1681.887968
