date,Farmgate Price
2010-Q1,55.35
2010-Q2,55.58
2010-Q3,52.68
2010-Q4,56.19
2011-Q1,67.74
2011-Q2,71.39
2011-Q3,64.96
2011-Q4,63.9
2012-Q1,66.56
2012-Q2,65.21
2012-Q3,64.49
2012-Q4,67.02
2013-Q1,68.06
2013-Q2,65.26
2013-Q3,65.41
2013-Q4,65.13
2014-Q1,69.71
2014-Q2,74.56
2014-Q3,69.86
2014-Q4,71.53
2015-Q1,69.96
2015-Q2,72.5
2015-Q3,71.06
2015-Q4,70.29
2016-Q1,70.96
2016-Q2,71.97
2016-Q3,77.03
2016-Q4,77.18
2017-Q1,83.14
2017-Q2,83.59
2017-Q3,81.78
2017-Q4,78.3
2018-Q1,82.9
2018-Q2,82.52
2018-Q3,79.98
2018-Q4,77.86
2019-Q1,80.74
2019-Q2,82.14
2019-Q3,79.64
2019-Q4,75.6
2020-Q1,77.15
2020-Q2,72.73
2020-Q3,72.85
2020-Q4,68.94
2021-Q1,72.19
2021-Q2,73.79
2021-Q3,72.95
2021-Q4,71.48
