Date,Farmgate_Price,Production_Cost,Net_Return,Volume_Of_Production,Inflation
2010-Q1,55.35,6340,4374,12439.01,3.9
2010-Q2,55.58,6854.066327,4728.88735,3416.29,3.833
2010-Q3,52.68,5945.263367,4101.868787,3191.57,3.867
2010-Q4,56.19,6742.37211,4651.825159,14919.65,3.5
2011-Q1,67.74,7003.43457,5034.112537,10928.63,4.533
2011-Q2,71.39,7977.176986,5734.044671,3333.25,4.933
2011-Q3,64.96,6547.032588,4706.04794,2969.42,4.733
2011-Q4,63.9,6250.355857,4492.794852,14257.9,4.7
2012-Q1,66.56,7092,4618,12191.4,3.333
2012-Q2,65.21,8391.086974,5463.798377,3014.29,2.933
2012-Q3,64.49,6925.03877,4509.191206,2939.29,3.467
2012-Q4,67.02,7117.182362,4634.30418,13767.32,2.967
2013-Q1,68.06,7340,4348,10369.08,2.8
2013-Q2,65.26,8518.58629,5045.647955,2902.43,2.333
2013-Q3,65.41,7021.846625,4159.113362,2362,2.167
2013-Q4,65.13,7446.643441,4410.724969,11646.64,3.033
2014-Q1,69.71,7455,4404,9855.45,3.6
2014-Q2,74.56,9140.185373,5398.802044,2832.88,3.8
2014-Q3,69.86,6742.97142,3982.847874,2099.09,4.1
2014-Q4,71.53,7775.500566,4592.728335,11296.57,2.867
2015-Q1,69.96,7900,4468,8546.72,1.5
2015-Q2,72.5,8811.708559,4983.482779,2709.52,0.967
2015-Q3,71.06,7114.895985,4023.846383,2155.71,-0.07
2015-Q4,70.29,8750.024724,4948.597339,11511.57,0.267
2016-Q1,70.96,8303,3499,8284.62,0.6
2016-Q2,71.97,8586.206852,3618.691527,2280.17,0.967
2016-Q3,77.03,8195.045633,3453.835052,2018.5,1.433
2016-Q4,77.18,9138.133148,3851.303092,11066.24,2.033
2017-Q1,83.14,8789,3699,7131.23,2.9
2017-Q2,83.59,9674.495698,4071.230883,2002.68,2.867
2017-Q3,81.78,9216.876547,3878.655137,1877.75,2.667
2017-Q4,78.3,8446.143247,3554.314385,10504.75,3
2018-Q1,82.9,9749,1749,6674.04,3.8
2018-Q2,82.52,11020.09095,1977.428007,1914.05,4.633
2018-Q3,79.98,9480.514916,1701.168874,1903.18,6.433
2018-Q4,77.86,9211.94459,1652.977032,10544.17,6.067
2019-Q1,80.74,10942,717,5959.63,3.867
2019-Q2,82.14,12161.52277,796.5156332,1799.62,3.033
2019-Q3,79.64,10415.16624,682.1384861,1900.77,1.367
2019-Q4,75.6,9828.007893,643.6827095,11115.06,1.4
2020-Q1,77.15,12399,-821,5961.57,2.567
2020-Q2,72.73,12453.79028,-824.7134979,1743.44,1.9
2020-Q3,72.85,11050.23059,-731.7671262,1837.18,2.267
2020-Q4,68.94,10562.32446,-699.4570613,11362.13,2.867
2021-Q1,72.19,12004,-1681,7033.6,4
2021-Q2,73.79,13633.56799,-1909.598153,1660.48,3.967
2021-Q3,72.95,13330.31807,-1867.123175,1750.95,4.1
2021-Q4,71.48,12007.83208,-1681.887968,10868.89,3.6
